,name,address,price,rating,amenities
0,OYO Hotel Aura Palace Deluxe,"New Delhi-110055, Delhi",₹1237,(1633 Ratings),AC
1,OYO Flagship Aliza Residency ,"Near Rohini sector 18 Metro, Delhi",₹699,(1 Ratings),
2,OYO Flagship Hotel Deva Inn,"Shahdara, Delhi",₹968,(5 Ratings),
3,Flagship Roshan's Inn Near Dilshad Garden Metro Station,"Near Dilshad Garden Metro Station, Delhi",₹599,(53 Ratings),AC
4,OYO Flagship Hotel Thanks,"B 53 GANESH NAGAR 2 EXT. SHAKARPUR DELHI, Delhi",₹699,(0 Ratings),
5,OYO Townhouse 1130 262 Kailash Enclave Near M2K Cinemas Rohini,"Harsh Vihar, Delhi",₹1529,(960 Ratings),
6,OYO Hotel J Joy,"MAIN FAIZ ROAD (Above SBI BANK), KAROL BAGH",₹808,(1185 Ratings),
7,Collection O P G International,"Near New Delhi Railway Station, Delhi",₹949,(115 Ratings),AC
8,Townhouse 868 Dream Connect Near TDI Mall,"Wz-3 Opp Pillor No 322 Moti Nagar Delhi, Delhi",₹1411,(2916 Ratings),
9,SPOT ON Hotel Silver Palace Dx,"Near RK ASHRAM METRO STATION, Pahar Ganj, Delhi",₹1242,(2589 Ratings),
10,Flagship Hotel Sun Shine,"Shakarpur Main Market, Delhi",₹1169,(110 Ratings),
11,Flagship Hotel V K Stay,"Aarakashan Road (near Delhi Railway Station), Delhi",₹1110,(435 Ratings),
12,OYO Hotel Sehej Continental,"Db Gupta Road Karolbagh, Delhi",₹1237,(337 Ratings),
13,OYO Flagship Hotel Nasa Inn,"Arya Nagar, Delhi",₹1002,,
14,OYO Flagship Hotel Happy Inn,"Near Singla Sweets, Delhi",₹949,(70 Ratings),
15,Super OYO Townhouse 381 Dilshad Garden Near Dilshad Garden Metro Station,"Pocket E, Delhi",₹1552,(2246 Ratings),AC
16,Super OYO Flagship 815278 Dream Stay,"New delhi, Delhi",₹996,(43 Ratings),
17,OYO Hotel Crown Continental Near Sarai Rohilla Railway Station,"11005, Delhi",₹1361,(188 Ratings),AC
18,OYO Hotel Samrat ,"Seelampur, Delhi",₹778,(4 Ratings),
19,Townhouse 610 Derawal Nagar,"Near Vinayak Hoptiat, Gujranwala Town, Delhi",₹3040,(2805 Ratings),
20,Flagship Hotel City Inn Dx,"Near RK ASHRAM, Basant Road Railway Colony, Delhi",₹1105,(568 Ratings),
21,OYO Flagship Hotel SS Palace,"Block A, Delhi",₹1476,(272 Ratings),AC
22,Super OYO Hotel Landmark Inn,Near Karol Bagh Metro Station,₹1911,(3762 Ratings),
23,Super OYO Townhouse 057 Gujranwala Town Near Model Town Metro Station,"Tehsil, Delhi",₹1990,(1636 Ratings),
24,SPOT ON Shyam Palace Near New Delhi Railway Station,"Near R K Ashram Metro Station, Pahar Ganj, Delhi",₹1105,(198 Ratings),
25,Super OYO Townhouse 511 Prakash continental Near Netaji Subhash Place Metro Station,"Netaji Subash Palace, Delhi",₹1728,(427 Ratings),
26,OYO Flagship 79953 Rose Inn Near Samaypur Badli Metro Station,"Bhalaswa, Delhi",₹1233,(269 Ratings),
27,OYO Park Hotel,"B-3 Mahendra Park, Delhi",₹1060,(2 Ratings),AC
28,Super OYO Flagship Star Guest House,"Block A, Delhi",₹1112,(20 Ratings),
29,OYO Hotel City Castle,"Near Karol Bagh, Nai Walan, Delhi",₹1524,(1376 Ratings),
30,Flagship Hotel Kabila,"Karolbagh, Delhi",₹1225,(265 Ratings),
31,Flagship Sr Residency Near CCD,"Block B, Delhi",₹1110,(310 Ratings),
32,Collection O 83831 Golden Key Near TDI Mall,"Near Rajdhani College, Delhi",₹1481,(393 Ratings),"AC, TV"
33,OYO Flagship 86216  Hotel Mini Stays,"Central Delhi, Delhi",₹1476,(118 Ratings),
34,OYO Flagship Hotel CG International,"Near New Delhi Railway Station, Delhi",₹1384,(3 Ratings),
35,OYO Flagship Hotel Mayur Inn,"B-3 Near DA BLOCK SHALIMAR VILLAGE, Delhi",₹1112,(88 Ratings),
36,OYO Flagship Hotel Dream Palace Near V3S Mall,"110051, Delhi",₹1149,(102 Ratings),
37,OYO Flagship Hotel Raas Near Near Laxmi nagar metro station,G-79,₹1437,(331 Ratings),
38,OYO Flagship Hotel Happiness Inn Near Tdi Mall,"Karampura, Delhi",₹1233,(246 Ratings),AC
39,Super OYO Collection O Shalimar Bagh Near Haiderpur Metro Station,"Shalimar Village, Delhi",₹1773,(1917 Ratings),"Free Wifi, AC"
40,Flagship Dream Inn Near Akshardham,"J 8  Near Mithila Appartment Chandra Vihar Patparganj Delhi-110091null, Delhi",₹1476,(194 Ratings),
41,OYO Townhouse 118 Gagan Vihar Near V3S Mall,"Near RG Stone hospital , Hargobind Enclave, Delhi",₹1907,(1760 Ratings),
42,OYO Flagship Metro City Guest House,"India , Delhi",₹1107,(28 Ratings),
43,OYO Flagship Hotel Bangla Sahib,"Delhi, Delhi",₹1476,,
44,OYO Flagship Bed Box,"Kamalanagar market spark mall near by insens  showroom, Delhi",₹1597,(49 Ratings),
